[SPRITES]
# id l t r b tex_id
30001 0 0 3376 480 4
30011 0 0 3060 720 5
30012 0 0 2864 240 6
30013 0 0 5120 480 7

#---- MENU SCENE ----#
30014 0 0 960 540 14

#---- CONTROL SCENE ----#
30015 0 0 960 540 15

#---- END SCENE ----#
30016 0 0 960 540 16

#---- DEATH SCENE ----#
30017 0 0 960 540 18

#---- GAME OVER SCENE ----#
30018 0 0 960 540 19

#---- MENU TEXT (no ▶ arrow = not selected, with ▶ arrow = selected) ----#
# Both states are padded to the same left edge (x=27) so the arrow swaps in
# without shifting the text or distorting the sprite.
# id  l   t   r   b   tex_id
30020 27  28  333 79  17    # Bắt đầu   (not selected — no arrow)
30021 27  134 333 186 17    # Bắt đầu   (selected — with ▶ arrow)
30022 27  240 431 302 17    # Hướng dẫn (not selected — no arrow)
30023 27  346 431 408 17    # Hướng dẫn (selected — with ▶ arrow)

[ANIMATIONS]
# id sprite_id time
3000 30001 100
3001 30011 100
3002 30012 100
3003 30013 100
3004 30014 100
3005 30015 100
3006 30016 100
3007 30017 100
3008 30018 100

# Menu option text
3010 30020 100
3011 30021 100
3012 30022 100
3013 30023 100
