[ASSETS]
Objects/brick.txt
Objects/mario.txt
Objects/bullet.txt
Objects/background.txt
Objects/pipe.txt
Objects/piranha_plant.txt
Objects/blooper.txt
Objects/bulletbill.txt
Objects/cannon.txt
Objects/hammerbro.txt
Objects/hammer.txt
Objects/bowser.txt
Objects/bowserfireball.txt

[MAP]
3376 480

[OBJECTS]

########## BACKGROUND ##########
# type x y z
3 0 240 0.9

########## MARIO ##########
# type x y z
0 0 420 0.2
########ENEMY###########

8 360 320 0.2



########## END SCENE POINT ##########
# type x y z
5 3264 416 0.5

########## PIPE ##########
# type x y z
# Pipe 1
4 448 416 0.5

# Pipe 2
4 608 400 0.5
4 608 416 0.5

# Pipe 3
4 736 384 0.5
4 736 400 0.5
4 736 416 0.5

# Pipe 4
4 912 384 0.5
4 736 400 0.5
4 912 416 0.5

# Pipe 5
4 2608 416 0.5

# Pipe 6
4 2864 416 0.5


########## PLATFORM ##########
# type x y z
1 0 448 0.5
1 16 448 0.5
1 32 448 0.5
1 48 448 0.5
1 64 448 0.5
1 80 448 0.5
1 96 448 0.5
1 112 448 0.5
1 128 448 0.5
1 144 448 0.5
1 160 448 0.5
1 176 448 0.5
1 192 448 0.5
1 208 448 0.5
1 224 448 0.5
1 240 448 0.5
1 256 448 0.5
1 272 448 0.5
1 288 448 0.5
1 304 448 0.5
1 320 448 0.5
1 336 448 0.5
1 352 448 0.5
1 368 448 0.5
1 384 448 0.5
1 400 448 0.5
1 416 448 0.5
1 432 448 0.5
1 448 448 0.5
1 464 448 0.5
1 480 448 0.5
1 496 448 0.5
1 512 448 0.5
1 528 448 0.5
1 544 448 0.5
1 560 448 0.5
1 576 448 0.5
1 592 448 0.5
1 608 448 0.5
1 624 448 0.5
1 640 448 0.5
1 656 448 0.5
1 672 448 0.5
1 688 448 0.5
1 704 448 0.5
1 720 448 0.5
1 736 448 0.5
1 752 448 0.5
1 768 448 0.5
1 784 448 0.5
1 800 448 0.5
1 816 448 0.5
1 832 448 0.5
1 848 448 0.5
1 864 448 0.5
1 880 448 0.5
1 896 448 0.5
1 912 448 0.5
1 928 448 0.5
1 944 448 0.5
1 960 448 0.5
1 976 448 0.5
1 992 448 0.5
1 1008 448 0.5
1 1024 448 0.5
1 1040 448 0.5
1 1056 448 0.5
1 1072 448 0.5
1 1088 448 0.5


1 1136 448 0.5
1 1152 448 0.5
1 1168 448 0.5
1 1184 448 0.5
1 1200 448 0.5
1 1216 448 0.5
1 1232 448 0.5
1 1248 448 0.5
1 1264 448 0.5
1 1280 448 0.5
1 1296 448 0.5
1 1312 448 0.5
1 1328 448 0.5
1 1344 448 0.5
1 1360 448 0.5



1 1424 448 0.5
1 1440 448 0.5
1 1456 448 0.5
1 1472 448 0.5
1 1488 448 0.5
1 1504 448 0.5
1 1520 448 0.5
1 1536 448 0.5
1 1552 448 0.5
1 1568 448 0.5
1 1584 448 0.5
1 1600 448 0.5
1 1616 448 0.5
1 1632 448 0.5
1 1648 448 0.5
1 1664 448 0.5
1 1680 448 0.5
1 1696 448 0.5
1 1712 448 0.5
1 1728 448 0.5
1 1744 448 0.5
1 1760 448 0.5
1 1776 448 0.5
1 1792 448 0.5
1 1808 448 0.5
1 1824 448 0.5
1 1840 448 0.5
1 1856 448 0.5
1 1872 448 0.5
1 1888 448 0.5
1 1904 448 0.5
1 1920 448 0.5
1 1936 448 0.5
1 1952 448 0.5
1 1968 448 0.5
1 1984 448 0.5
1 2000 448 0.5
1 2016 448 0.5
1 2032 448 0.5
1 2048 448 0.5
1 2064 448 0.5
1 2080 448 0.5
1 2096 448 0.5
1 2112 448 0.5
1 2128 448 0.5
1 2144 448 0.5
1 2160 448 0.5
1 2176 448 0.5
1 2192 448 0.5
1 2208 448 0.5
1 2224 448 0.5
1 2240 448 0.5
1 2256 448 0.5
1 2272 448 0.5
1 2288 448 0.5
1 2304 448 0.5
1 2320 448 0.5
1 2336 448 0.5
1 2352 448 0.5
1 2368 448 0.5
1 2384 448 0.5
1 2400 448 0.5
1 2416 448 0.5
1 2432 448 0.5


1 2480 448 0.5
1 2496 448 0.5
1 2512 448 0.5
1 2528 448 0.5
1 2544 448 0.5
1 2560 448 0.5
1 2576 448 0.5
1 2592 448 0.5
1 2608 448 0.5
1 2624 448 0.5
1 2640 448 0.5
1 2656 448 0.5
1 2672 448 0.5
1 2688 448 0.5
1 2704 448 0.5
1 2720 448 0.5
1 2736 448 0.5
1 2752 448 0.5
1 2768 448 0.5
1 2784 448 0.5
1 2800 448 0.5
1 2816 448 0.5
1 2832 448 0.5
1 2848 448 0.5
1 2864 448 0.5
1 2880 448 0.5
1 2896 448 0.5
1 2912 448 0.5
1 2928 448 0.5
1 2944 448 0.5
