[ASSETS]
Objects/brick.txt
Objects/mario.txt
Objects/bullet.txt
Objects/background.txt
Objects/brick_fragment.txt
Objects/dynamic_platform.txt

[MAP]
2810 720

[OBJECTS]
########## BACKGROUND ##########
# type x y z
3 0 240 0.9

########## MARIO ##########
# type x y z
0 2200 600 0.2

########## BRICK BREAK ##########
# type x y z
#------ Block 1 ------
8 464 608 0.5

#------ Block 2 ------
8 624 592 0.5
8 624 608 0.5
8 624 624 0.5
8 640 624 0.5
8 656 624 0.5
8 656 608 0.5
8 656 592 0.5
8 672 592 0.5
8 688 592 0.5
8 704 592 0.5
8 704 608 0.5
8 704 624 0.5
8 720 624 0.5
8 736 624 0.5
8 736 608 0.5
8 736 592 0.5

#------ Block 3 ------
8 832 560 0.5
8 832 576 0.5
8 832 592 0.5
8 832 608 0.5
8 832 624 0.5

8 848 560 0.5
8 848 576 0.5
8 848 592 0.5
8 848 608 0.5
8 848 624 0.5

8 864 624 0.5
8 864 640 0.5
8 864 656 0.5

8 880 624 0.5
8 880 640 0.5
8 880 656 0.5

8 864 528 0.5
8 864 544 0.5

8 880 528 0.5
8 880 544 0.5

#------ Block 4 ------
8 928 624 0.5
8 944 624 0.5
8 960 624 0.5
8 976 624 0.5
8 992 624 0.5
8 1008 624 0.5

8 992 608 0.5
8 1008 608 0.5
8 992 592 0.5
8 1008 592 0.5
8 992 576 0.5
8 1008 576 0.5
8 992 560 0.5
8 1008 560 0.5
8 992 544 0.5
8 1008 544 0.5
8 992 528 0.5
8 1008 528 0.5

8 928 528 0.5
8 928 544 0.5
8 944 528 0.5
8 944 544 0.5
8 960 528 0.5
8 960 544 0.5
8 976 528 0.5
8 976 544 0.5


#------ Block 5 ------
8 1072 624 0.5
8 1088 624 0.5
8 1104 624 0.5

8 1104 608 0.5

8 1072 608 0.5
8 1072 592 0.5
8 1072 576 0.5
8 1072 560 0.5

8 1056 544 0.5
8 1056 528 0.5
8 1072 544 0.5
8 1072 528 0.5
8 1088 544 0.5
8 1088 528 0.5
8 1104 544 0.5
8 1104 528 0.5

#------ Block 6 ------
8 1152 624 0.5
8 1168 624 0.5
8 1152 608 0.5
8 1168 608 0.5
8 1152 592 0.5
8 1168 592 0.5
8 1152 576 0.5
8 1168 576 0.5
8 1152 560 0.5
8 1168 560 0.5


#------ Block 7 ------
8 1216 624 0.5
8 1232 624 0.5
8 1248 624 0.5
8 1264 624 0.5

8 1216 544 0.5
8 1216 528 0.5
8 1232 544 0.5
8 1232 528 0.5
8 1248 544 0.5
8 1248 528 0.5
8 1264 544 0.5
8 1264 528 0.5

#------ Block 8 ------
8 1328 608 0.5
8 1328 592 0.5
8 1344 608 0.5
8 1344 592 0.5
8 1360 608 0.5
8 1360 592 0.5
8 1376 608 0.5
8 1376 592 0.5
8 1392 608 0.5
8 1392 592 0.5
8 1408 608 0.5
8 1408 592 0.5
8 1424 608 0.5
8 1424 592 0.5

#------ Block 9 ------
8 1952 672 0.5
8 1968 672 0.5
8 1952 656 0.5
8 1968 656 0.5
8 1952 640 0.5
8 1968 640 0.5

#------ Block 10 ------
8 2320 608 0.5
8 2336 608 0.5
8 2352 608 0.5
8 2368 608 0.5
8 2384 608 0.5
8 2400 608 0.5

########## DYNAMIC PLATFORM ##########
# type x y z objectType (0=horizontal, 1=vertical)
7 2256 608 0.5 1
7 2464 608 0.5 1

########## PLATFORM ##########
# type x y z
1 0 688 0.5
1 16 688 0.5
1 32 688 0.5
1 48 688 0.5
1 64 688 0.5
1 80 688 0.5
1 96 688 0.5
1 112 688 0.5
1 128 688 0.5
1 144 688 0.5
1 160 688 0.5
1 176 688 0.5
1 192 688 0.5
1 208 688 0.5
1 224 688 0.5
1 240 688 0.5
1 256 688 0.5
1 272 688 0.5
1 288 688 0.5
1 304 688 0.5
1 320 688 0.5
1 336 688 0.5
1 352 688 0.5
1 368 688 0.5
1 384 688 0.5
1 400 688 0.5
1 416 688 0.5
1 432 688 0.5
1 448 688 0.5
1 464 688 0.5
1 480 688 0.5
1 496 688 0.5
1 512 688 0.5
1 528 688 0.5
1 544 688 0.5
1 560 688 0.5
1 576 688 0.5
1 592 688 0.5
1 608 688 0.5
1 624 688 0.5
1 640 688 0.5
1 656 688 0.5
1 672 688 0.5
1 688 688 0.5
1 704 688 0.5
1 720 688 0.5
1 736 688 0.5
1 752 688 0.5
1 768 688 0.5
1 784 688 0.5
1 800 688 0.5
1 816 688 0.5
1 832 688 0.5
1 848 688 0.5
1 864 688 0.5
1 880 688 0.5
1 896 688 0.5
1 912 688 0.5
1 928 688 0.5
1 944 688 0.5
1 960 688 0.5
1 976 688 0.5
1 992 688 0.5
1 1008 688 0.5
1 1024 688 0.5
