[ASSETS]
Objects/brick.txt
Objects/mario.txt
Objects/bullet.txt
Objects/background.txt

[MAP]
2864 240

[OBJECTS]
########## BACKGROUND ##########
# type x y z
3 0 0 0.9

########## MARIO ##########
# type x y z
0 16 192 0.2

########## PLATFORM ##########
# type x y z
1 0 208 0.5
1 16 208 0.5
1 32 208 0.5
1 48 208 0.5
1 64 208 0.5
1 80 208 0.5
1 96 208 0.5
1 112 208 0.5
1 128 208 0.5
1 144 208 0.5
1 160 208 0.5
1 176 208 0.5
1 192 208 0.5
1 208 208 0.5
1 224 208 0.5
1 240 208 0.5 	
1 288 208 0.5
1 304 208 0.5
1 320 208 0.5
1 336 144 0.5
1 352 144 0.5 
1 368 144 0.5
1 384 208 0.5
1 400 208 0.5
1 416 208 0.5
1 496 144 0.5
1 512 144 0.5
1 528 144 0.5
1 544 144 0.5
1 592 208 0.5
1 608 208 0.5
1 624 208 0.5
1 688 208 0.5
1 704 208 0.5
1 720 208 0.5
1 784 176 0.5
1 800 176 0.5
1 816 176 0.5
1 832 176 0.5
1 1040 144 0.5
1 1056 144 0.5
1 1072 144 0.5
1 1088 144 0.5
1 1104 144 0.5
1 1360 160 0.5
1 1376 160 0.5
1 1392 160 0.5
1 1408 160 0.5
1 1424 160 0.5
1 1360 48 0.5
1 1376 48 0.5
1 1392 48 0.5
1 1440 128 0.5
1 1456 128 0.5
1 1472 128 0.5
1 1488 208 0.5
1 1504 208 0.5
1 1520 208 0.5
1 1552 208 0.5
1 1568 208 0.5
1 1584 208 0.5
1 1600 208 0.5
1 1648 208 0.5
1 1664 208 0.5
1 1680 208 0.5
1 1712 144 0.5
1 1728 144 0.5
1 1744 144 0.5
1 1760 144 0.5
1 1776 144 0.5
1 1808 208 0.5
1 1824 208 0.5
1 1840 208 0.5
1 1856 208 0.5
1 1872 208 0.5
1 1968 208 0.5
1 1984 208 0.5
1 2000 208 0.5
1 2112 208 0.5
1 2128 208 0.5
1 2144 208 0.5
1 2160 208 0.5
1 2160 144 0.5
1 2176 144 0.5
1 2192 144 0.5
1 2208 144 0.5
1 2112 208 0.5
1 2128 208 0.5
1 2144 208 0.5
1 2496 80 0.5
1 2512 80 0.5
1 2528 80 0.5
1 2544 208 0.5
1 2576 208 0.5
1 2592 208 0.5
1 2608 208 0.5
1 2624 208 0.5
1 2640 208 0.5
1 2656 208 0.5
1 2672 208 0.5
1 2688 208 0.5
1 2704 208 0.5
1 2720 208 0.5
1 2736 208 0.5
1 2752 208 0.5
1 2768 208 0.5
1 2784 208 0.5
1 2800 208 0.5
1 2816 208 0.5
1 2832 208 0.5
1 2848 208 0.5
1 2864 208 0.5
1 2880 208 0.5
1 2896 208 0.
