[ASSETS]
Objects/brick_test.txt
Objects/mario.txt
Objects/bullet.txt
Objects/background.txt

[MAP]
5120 480

[OBJECTS]
########## BACKGROUND ##########
# type x y z
3 0 0 0.9
########## MARIO ##########
# type x y z
0 0 0 0.2

########## BRICK_TEST ##########
# type x y z
6 0 111 0.5
6 16 111 0.5
6 32 127 0.5




6 16 207 0.5
6 32 207 0.5
6 48 207 0.5
6 64 207 0.5
6 80 207 0.5
6 96 207 0.5
6 112 207 0.5
6 128 207 0.5
6 144 207 0.5
6 160 207 0.5
6 176 207 0.5
6 192 207 0.5
6 208 207 0.5
6 224 207 0.5
6 240 207 0.5
6 256 207 0.5
6 272 207 0.5
6 288 207 0.5
6 304 207 0.5
6 320 207 0.5
6 336 207 0.5
6 352 207 0.5
6 368 207 0.5
6 384 207 0.5
6 400 207 0.5
6 416 207 0.5
6 432 207 0.5
6 448 207 0.5
6 464 207 0.5
6 480 207 0.5
6 496 207 0.5
6 512 207 0.5
6 528 207 0.5
6 544 207 0.5
6 560 207 0.5
6 576 207 0.5
6 592 207 0.5
6 608 207 0.5
6 624 207 0.5
6 640 207 0.5
6 656 207 0.5
6 672 207 0.5
6 688 207 0.5
6 704 207 0.5
6 720 207 0.5
6 736 207 0.5
6 752 207 0.5
6 768 207 0.5
6 784 207 0.5
6 800 207 0.5
6 816 207 0.5
6 832 207 0.5
6 848 207 0.5
6 864 207 0.5
6 880 207 0.5
6 896 207 0.5
6 912 207 0.5
6 928 207 0.5
6 944 207 0.5
6 960 207 0.5
6 976 207 0.5
6 992 207 0.5
6 1008 207 0.5
6 1024 207 0.5
6 1040 207 0.5
6 1056 207 0.5
6 1072 207 0.5
6 1088 207 0.5
6 1104 207 0.5
6 1120 207 0.5
6 1136 207 0.5
6 1152 207 0.5
6 1168 207 0.5
6 1184 207 0.5
6 1200 207 0.5
6 1216 207 0.5
6 1232 207 0.5
6 1248 207 0.5
6 1264 207 0.5
6 1280 207 0.5
6 1296 207 0.5
6 1312 207 0.5
6 1328 207 0.5
6 1344 207 0.5
6 1360 207 0.5
6 1376 207 0.5
6 1392 207 0.5
6 1408 207 0.5
6 1424 207 0.5
6 1440 207 0.5
6 1456 207 0.5
6 1472 207 0.5
6 1488 207 0.5
6 1504 207 0.5
6 1520 207 0.5
6 1536 207 0.5
6 1552 207 0.5
6 1568 207 0.5
6 1584 207 0.5
6 1600 207 0.5
6 1616 207 0.5
6 1632 207 0.5
6 1648 207 0.5
6 1664 207 0.5
6 1680 207 0.5
6 1696 207 0.5
6 1712 207 0.5
6 1728 207 0.5
6 1744 207 0.5
6 1760 207 0.5
6 1776 207 0.5
6 1792 207 0.5
6 1808 207 0.5
6 1824 207 0.5
6 1840 207 0.5
6 1856 207 0.5
6 1872 207 0.5
6 1888 207 0.5
6 1904 207 0.5
6 1920 207 0.5
6 1936 207 0.5
6 1952 207 0.5
6 1968 207 0.5
6 1984 207 0.5
6 2000 207 0.5
6 2016 207 0.5
6 2032 207 0.5
6 2048 207 0.5
6 2064 207 0.5
6 2080 207 0.5
6 2096 207 0.5
6 2112 207 0.5
6 2128 207 0.5
6 2144 207 0.5
6 2160 207 0.5
6 2176 207 0.5
6 2192 207 0.5
6 2208 207 0.5
6 2224 207 0.5
6 2240 207 0.5
6 2256 207 0.5
6 2272 207 0.5
6 2288 207 0.5
6 2304 207 0.5
6 2320 207 0.5
6 2336 207 0.5
6 2352 207 0.5
6 2368 207 0.5
6 2384 207 0.5
6 2400 207 0.5
6 2416 207 0.5
6 2432 207 0.5
6 2448 207 0.5
6 2464 207 0.5
6 2480 207 0.5
6 2496 207 0.5
6 2512 207 0.5
6 2528 207 0.5
6 2544 207 0.5
6 2560 207 0.5
6 2576 207 0.5
6 2592 207 0.5
6 2608 207 0.5
6 2624 207 0.5
6 2640 207 0.5
6 2656 207 0.5
6 2672 207 0.5
6 2688 207 0.5
6 2704 207 0.5
6 2720 207 0.5
6 2736 207 0.5
6 2752 207 0.5
6 2768 207 0.5
6 2784 207 0.5
6 2800 207 0.5
6 2816 207 0.5
6 2832 207 0.5
6 2848 207 0.5
6 2864 207 0.5
6 2880 207 0.5
6 2896 207 0.5
6 2912 207 0.5
6 2928 207 0.5
6 2944 207 0.5
6 2960 207 0.5
6 2976 207 0.5
6 2992 207 0.5
6 3008 207 0.5
6 3024 207 0.5
6 3040 207 0.5
6 3056 207 0.5
6 3072 207 0.5
6 3088 207 0.5
6 3104 207 0.5
6 3120 207 0.5
6 3136 207 0.5
6 3152 207 0.5
6 3168 207 0.5
6 3184 207 0.5
6 3200 207 0.5
6 3216 207 0.5
6 3232 207 0.5
6 3248 207 0.5
6 3264 207 0.5
