[ASSETS]
brick.txt
mario.txt
bullet.txt

[OBJECTS]
########## MARIO ##########
# type 	x 	y
0 	50 	100

########## BRICK ##########
1 0 200
1 16 200
1 32 200
1 48 200
1 64 200
1 80 200
1 96 200
1 112 200
1 128 200
1 144 200
1 160 200
1 176 200
1 192 200
1 208 200
1 224 200
1 240 200
1 256 200
1 272 200
1 288 200
1 304 200
1 320 200
1 336 200
1 352 200
1 368 200
1 384 200
1 400 200
1 416 200
1 432 200
1 448 200
1 464 200
1 480 200
1 496 200
1 512 200
1 528 200
1 544 200
1 560 200
1 576 200
1 592 200
1 608 200
1 624 200
1 640 200
1 656 200
1 672 200
1 688 200
1 704 200
1 720 200
1 736 200
1 752 200
1 768 200
1 784 200
1 800 200
1 816 200
1 832 200
1 848 200
1 864 200
1 880 200
1 896 200
1 912 200
1 928 200
1 944 200
1 960 200
1 976 200
1 992 200
1 1008 200
1 1024 200
1 1040 200
1 1056 200
1 1072 200
1 1088 200
1 1104 200
1 1120 200
1 1136 200
1 1152 200
1 1168 200
1 1184 200
1 1200 200
1 1216 200
1 1232 200
1 1248 200
1 1264 200
1 1280 200
1 1296 200
1 1312 200
1 1328 200
1 1344 200
1 1360 200
1 1376 200
1 1392 200
1 1408 200
1 1424 200
1 1440 200
1 1456 200
1 1472 200
1 1488 200
1 1504 200
1 1520 200
1 1536 200
1 1552 200
1 1568 200
1 1584 200
1 1600 200
1 1616 200
1 1632 200
1 1648 200
1 1664 200
1 1680 200
1 1696 200
1 1712 200
1 1728 200
1 1744 200
1 1760 200
1 1776 200
1 1792 200
1 1808 200
1 1824 200
1 1840 200
1 1856 200
1 1872 200
1 1888 200
1 1904 200
